j,k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
30,AU,2,4,7,3,0,0,4,5,2,2,2,3,4,1,4,4,3,2,0,2,0,2,2,1,4,4,6,6,2,6,2,3,5,3,6,4,8,0,7,7,1,5,6
60,AU,3,1,1,2,0,0,3,1,3,0,2,4,0,2,0,1,3,3,2,1,0,3,0,0,1,0,2,3,0,2,2,3,2,1,2,2,0,1,3,3,2,1,1
120,AU,4,2,3,2,1,3,2,1,2,0,1,0,0,2,0,3,1,3,2,1,2,2,2,4,3,3,2,2,2,3,2,4,2,2,3,3,3,2,3,4,3,2,3
180,AU,1,0,0,1,0,0,0,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,2,0,2,1,0
240,AU,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1
300,AU,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
360,AU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,AL,0,0,3,0,0,0,2,0,0,0,0,6,1,0,0,0,3,2,0,5,0,7,4,2,0,2,7,6,4,3,4,5,7,0,6,1,9,3,0,1,6,5,5
60,AL,0,3,0,1,2,1,2,1,1,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,2
120,AL,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,2,0,1,0,1,1,1,0,0,0,0,1,1,1,0
180,AL,4,1,0,1,0,2,0,1,2,1,0,0,1,1,2,1,0,1,1,0,2,0,2,1,3,0,0,0,0,2,0,3,4,3,0,0,1,2,0,1,3,2,3
