CSN,AU,AL,MK,RW,OW
2000429706462,1000000,1000000,2,0,1
2000429763184,1000000,1000000,2,0,1
2000423655795,1,0,2,1000000,3
2000424935711,1000000,1000000,1,0,2
2000429765278,1000000,1000000,2,0,1
2000430060873,1000000,1000000,2,0,1
2000427368660,2,1,0,1000000,3
2000419499107,0,1000000,1000000,1000000,1000000
2000427998234,2,1,0,1000000,3
2000428279092,3,2,0,4,1
2000423372800,0,1,1000000,1000000,2
2000428278811,3,2,0,4,1
2000430052348,1000000,1000000,2,0,1
2000430039268,0,1,1000000,1000000,2
2000429701500,1000000,1000000,2,0,1
2000431000016,1000000,1000000,1000000,0,1000000
2000426932362,1000000,1000000,0,1,2
2000430322545,4,2,0,3,1
2000419791236,1000000,1000000,2,0,1
2000427165806,1000000,3,0,2,1
2000428847357,1000000,1000000,1,0,2
2000417713481,1000000,1000000,2,0,1
2000423934811,1000000,1000000,2,0,1
2000423655386,1,0,2,1000000,3
2000427032076,0,1000000,1000000,1000000,1000000
2000424935153,1000000,1000000,1,0,2
2000419575974,1000000,1000000,2,0,1
2000420489812,1000000,1000000,1,0,2
2000428255890,1000000,1000000,2,0,1
2000425879345,1000000,1000000,1000000,1,0
2000417755231,1000000,1000000,2,0,1
2000428057013,1000000,1000000,2,0,1
2000429389369,1000000,1000000,2,1,0
2000427997972,2,1,0,1000000,3
2000424675165,1,0,1000000,1000000,1000000
2000423582632,1000000,1000000,0,1,2
2000419872679,2,1,1000000,1000000,0
2000419651012,1,0,1000000,1000000,2
2000429376514,3,1,0,4,2
2000423934522,1000000,1000000,2,0,1
2000430948956,1000000,1000000,2,0,1
2000429673345,4,2,0,3,1
2000430957464,0,1000000,1000000,1000000,1000000
2000426702170,1000000,1000000,1000000,0,1000000
2000430074613,1000000,1000000,1,2,0
2000420370914,1000000,1000000,1000000,0,1
2000428255389,1000000,1000000,2,0,1
2000431589921,0,1,1000000,1000000,1000000
2000427368480,2,1,0,1000000,3
2000425853171,1000000,1000000,1,0,2
2000423292359,3,2,0,4,1
2000424678057,1000000,1000000,0,1,2
2000429530282,0,1000000,1000000,1000000,1000000
2000423582269,1000000,1000000,0,1,2
2000431610490,2,1,0,1000000,3
2000416199760,1000000,1000000,2,0,1
2000431604409,1000000,3,0,2,1
2000418474037,1000000,1000000,1000000,0,1000000
2000428056641,1000000,1000000,2,0,1
2000418562397,0,1,1000000,1000000,1000000
2000428450945,2,0,1,1000000,3
2000431628365,1000000,1000000,1,0,2
2000423928711,1000000,1000000,1000000,1,0
2000427039436,0,1000000,1000000,1000000,1000000
2000425600307,1000000,1000000,1000000,0,1000000
2000429037500,1,0,3,1000000,2
2000427032760,0,1000000,1000000,1000000,1000000
2000430358197,0,1,1000000,1000000,1000000
2000426883088,1000000,1000000,1000000,0,1000000
2000416616820,0,1,1000000,1000000,1000000
