CSN,m
2000429706462,1
2000429763184,1
2000423655795,1
2000424935711,1
2000429765278,1
2000430060873,1
2000427368660,1
2000419499107,1
2000427998234,1
2000428279092,1
2000423372800,1
2000428278811,1
2000430052348,1
2000430039268,1
2000429701500,1
2000431000016,1
2000426932362,1
2000430322545,1
2000419791236,1
2000427165806,1
2000428847357,1
2000417713481,1
2000423934811,1
2000423655386,1
2000427032076,1
2000424935153,1
2000419575974,1
2000420489812,1
2000428255890,1
2000425879345,1
2000417755231,1
2000428057013,1
2000429389369,1
2000427997972,1
2000424675165,1
2000423582632,1
2000419872679,1
2000419651012,1
2000429376514,1
2000423934522,1
2000430948956,1
2000429673345,1
2000430957464,1
2000426702170,1
2000430074613,1
2000420370914,1
2000428255389,1
2000431589921,1
2000427368480,1
2000425853171,1
2000423292359,1
2000424678057,1
2000429530282,1
2000423582269,1
2000431610490,1
2000416199760,1
2000431604409,1
2000418474037,1
2000428056641,1
2000418562397,1
2000428450945,1
2000431628365,1
2000423928711,1
2000427039436,1
2000425600307,1
2000429037500,1
2000427032760,1
2000430358197,1
2000426883088,1
2000416616820,1
2000429568759,2
2000429054520,2
2000425119130,2
2000426962978,2
2000430042061,2
2000428663923,2
2000430956315,2
2000425127615,2
2000431634557,2
2000430980263,2
2000424726190,2
2000424853091,2
2000428278328,2
2000431675007,2
2000419067086,2
2000424726188,2
2000423774382,2
2000429906953,2
2000430036193,2
2000429993464,2
2000421004131,2
2000429306002,2
2000428277903,2
2000429136886,2
2000429869796,2
2000429568401,2
2000428277899,2
2000430040841,2
2000421586172,2
2000429906609,2
2000431606996,2
2000423705244,2
2000431833137,2
2000430956009,2
2000427269257,2
2000426995895,2
2000420676268,2
2000423767058,2
2000431623113,2
2000426161574,2
2000422153641,2
2000425511403,2
2000415923779,2
2000431856915,2
2000428579242,2
2000431885339,2
2000427202366,2
2000428043142,2
2000430998893,2
2000419875423,2
2000430989875,2
2000421047218,2
2000429146408,2
2000427512016,2
2000421908217,2
2000417686990,2
2000421029731,2
2000423778909,2
2000426725906,2
2000425212281,2
2000423616328,2
2000423848976,2
2000425511137,2
2000430963189,2
2000423700695,2
2000425849291,2
2000426394065,2
2000427404967,2
2000428834287,2
2000420983252,2
2000425612388,2
2000431883097,2
2000428042233,2
2000429586395,2
2000423431862,2
2000420931284,2
2000424931050,2
2000428701092,2
2000424917732,2
2000423317066,2
2000425422307,2
2000421036095,2
2000427273598,2
2000425956381,2
2000427127454,2
2000424381146,2
2000427419215,2
2000423537133,2
2000423764736,2
2000420297308,2
2000432008401,2
2000426156237,3
2000427130595,3
2000428416868,3
2000428930447,3
2000427034933,3
2000423018351,3
2000419953358,3
2000426226122,3
2000429608895,3
2000430039285,3
2000428792941,3
2000429594879,3
2000424023561,3
2000431887159,3
2000426395822,3
2000430040263,3
2000421861474,3
2000427958769,3
2000427444594,3
2000424262474,3
2000419649840,3
2000426355977,3
2000429146414,3
2000428885483,3
2000428576590,3
2000427132889,3
2000427147335,3
2000428378224,3
2000429043342,3
2000428499690,3
2000426105054,3
2000428393117,3
2000430040270,3
2000424949202,3
2000428906459,3
2000429594487,3
2000425402280,3
2000425402955,3
2000428931851,3
2000417093816,3
2000431521185,3
2000416021692,3
2000427130471,3
2000428872449,3
2000417387602,3
2000416113350,3
2000427361924,3
2000415940839,3
2000423776100,3
2000420375678,3
2000417461658,3
2000428936626,3
2000426726828,3
2000426355981,3
2000427401052,3
2000424012599,3
2000419649549,3
2000431865294,3
2000417764746,3
2000427458416,3
2000425359529,3
2000424206736,3
2000424738292,3
2000427791018,3
2000426136043,3
2000423017568,3
2000427677932,3
2000428450368,3
2000427362702,3
2000430037271,3
2000428763068,3
2000425509123,3
2000423679645,3
2000426226265,3
2000416795651,3
2000427557229,3
2000426155855,3
2000427042710,3
2000427034464,3
2000417081280,3
2000420950106,3
2000419954083,3
2000426679527,3
2000419974171,3
2000423816914,3
2000430499113,3
2000432253027,3
2000432245497,3
2000422642959,3
2000427803824,3
2000419149921,3
2000427448682,3
2000419754948,3
2000416427520,3
2000431957614,3
2000428274928,3
2000421131165,4
2000420211452,4
2000427775616,4
2000429121584,4
2000430998648,4
2000417078199,4
2000431072205,4
2000428266240,4
2000426395975,4
2000429243798,4
2000423540386,4
2000423883939,4
2000429536186,4
2000429610638,4
2000424016685,4
2000429263202,4
2000429059577,4
2000426931800,4
2000428847488,4
2000427637698,4
2000426420756,4
2000425163921,4
2000425428336,4
2000424238120,4
2000421391148,4
2000424125424,4
2000430983028,4
2000426693842,4
2000422757986,4
2000430707031,4
2000429373562,4
2000432182501,4
2000421413637,4
2000430835228,4
2000420211349,4
2000426583947,4
2000432261853,4
2000416228886,4
2000429680330,4
2000431914502,4
2000417077605,4
2000427948582,4
2000419855899,4
2000424234876,4
2000424677282,4
2000421684194,4
2000421131199,4
2000428050909,4
2000429241803,4
2000421274412,4
2000431085151,4
2000426905127,4
2000432118324,4
2000423633312,4
2000423722405,4
2000423540070,4
2000424703056,4
2000431930019,4
2000430332902,4
2000427921263,4
2000429262731,4
2000429279846,4
2000427556251,4
2000424036114,4
2000424694319,4
2000426955500,4
2000425924300,4
2000426434286,4
2000431982895,4
2000427674132,4
2000425873896,4
2000432172128,4
2000426238825,4
2000425798217,4
2000427290027,4
2000417089107,4
2000420461756,4
2000432271481,4
2000427902064,4
2000418409104,4
2000428068464,4
2000419855527,4
2000429190255,4
2000432548087,4
2000432298912,4
2000424436574,4
2000424274620,4
2000430282720,4
2000426606430,5
2000424339715,5
2000427576941,5
2000429611358,5
2000427573558,5
2000425488548,5
2000421258898,5
2000430348396,5
2000428278801,5
2000430413619,5
2000425319005,5
2000424016832,5
2000428276282,5
2000428367638,5
2000432441245,5
2000427158522,5
2000417903185,5
2000419047292,5
2000429339936,5
2000428908814,5
2000427794098,5
2000429667480,5
2000431535342,5
2000427572817,5
2000424150267,5
2000424558783,5
2000430619473,5
2000431532101,5
2000426559431,5
2000432447565,5
2000431591553,5
2000419047047,5
2000426605932,5
2000426093811,5
2000424336474,5
2000424939837,5
2000429666580,5
2000431000908,5
2000430979413,5
2000420403132,5
2000421262996,5
2000428897411,5
2000432152124,5
2000425857056,5
2000431076280,5
2000428275560,5
2000432714841,5
2000421391306,5
2000427737790,5
2000430821421,5
2000420915357,5
2000428390972,5
2000431540773,5
2000427262852,5
2000427579207,5
2000427180066,5
2000419885622,5
2000425015752,5
2000422717888,5
2000420312476,5
2000427500238,5
2000429339558,5
2000431019932,5
2000424289735,5
2000426477476,5
2000430777484,5
2000431075333,5
2000431114865,5
2000423308723,5
2000427737327,5
2000426663923,5
2000428467294,5
2000429536294,5
2000428366837,5
2000429685239,5
2000432814179,5
2000432301528,5
2000427050716,5
2000429724652,5
2000429766199,6
2000428350218,6
2000431837361,6
2000420735411,6
2000432656804,6
2000429560431,6
2000429766700,6
2000421603234,6
2000427524583,6
2000425172024,6
2000421805911,6
2000427049835,6
2000432098070,6
2000427253393,6
2000420116024,6
2000431985375,6
2000429870953,6
2000419808728,6
2000426970542,6
2000429560809,6
2000417069760,6
2000429315129,6
2000431995195,6
2000431836084,6
2000427455740,6
2000417069759,6
2000427166056,6
2000428304593,6
2000428590059,6
2000432651688,6
2000426974010,6
2000429665051,6
2000432222090,6
2000424727511,6
2000419213220,6
2000431000111,6
2000425171812,6
2000430654928,6
2000425963108,6
2000424677287,6
2000432800876,6
2000431616515,6
2000432017539,6
2000428499739,6
2000420052971,6
2000433158971,6
2000425206151,6
2000432097422,6
2000427048783,6
2000419808137,6
2000433163307,6
2000420115956,6
2000432817099,6
2000420734476,6
2000422462612,6
2000417069886,6
2000426873370,6
2000430407295,6
2000422047454,6
2000421602481,6
2000421838474,6
2000426622577,6
2000433203435,6
2000427455355,6
2000433196387,6
2000425549013,6
2000424725972,6
2000432782360,6
2000428610947,6
2000426871502,6
2000431493724,6
2000428589572,6
2000421805763,6
2000426970707,6
2000428272807,6
2000424126222,6
2000428370144,6
2000433141600,6
